aX,aY,aZ,gX,gY,gZ
0.045,-0.085,0.989,1.465,-2.014,-0.183
0.046,-0.084,0.991,1.343,-2.014,-0.366
0.049,-0.086,0.990,1.404,-1.831,-0.366
0.047,-0.087,0.988,0.732,-1.892,-0.610
0.045,-0.089,0.992,0.305,-1.709,-0.488
0.044,-0.092,0.993,-0.305,-1.953,-0.244
0.046,-0.091,0.995,-0.366,-1.587,-0.244
0.048,-0.093,0.993,-0.427,-1.526,0.061
0.047,-0.095,0.992,-0.671,-1.221,0.000
0.046,-0.091,0.990,-1.221,-0.977,0.244
0.043,-0.084,0.989,-1.587,-0.977,0.549
0.048,-0.074,0.993,-1.343,-1.282,0.977
0.050,-0.070,0.992,-0.427,-0.916,0.793
0.051,-0.069,0.989,0.061,-0.977,0.244
0.048,-0.071,0.993,0.305,-1.343,0.122
0.048,-0.070,0.992,0.305,-1.404,0.000
0.049,-0.071,0.990,0.549,-1.221,-0.122
0.047,-0.076,0.991,0.916,-0.977,-0.427
0.044,-0.085,0.993,1.099,-1.343,-0.610
0.038,-0.094,0.990,0.549,-0.793,-0.671
0.040,-0.092,0.988,-0.244,-0.427,-0.549
0.042,-0.096,0.984,-0.732,-0.061,-0.244
0.042,-0.098,0.984,-1.587,0.061,0.000
0.037,-0.092,0.983,-2.441,-0.122,0.610
0.038,-0.088,0.984,-2.991,0.183,1.099
0.048,-0.091,0.985,-4.028,0.488,1.404
0.055,-0.089,0.991,-4.883,0.427,1.404
0.060,-0.083,0.999,-5.127,0.000,1.465
0.080,-0.083,1.009,-5.066,-0.183,1.648
0.086,-0.078,1.030,-4.272,-2.502,1.099
0.095,-0.058,1.058,-2.625,-5.554,0.244
0.113,-0.040,1.108,0.732,-9.521,-1.953
0.172,0.003,1.187,2.869,-16.113,-4.944
0.242,0.078,1.292,2.136,-25.330,-6.104
0.295,0.181,1.424,-2.625,-36.438,-5.920
0.351,0.354,1.568,-6.531,-45.654,-4.333
0.277,0.493,1.837,-8.301,-53.040,-3.113
0.351,0.666,2.105,-4.395,-53.040,-0.061
0.355,0.919,2.467,4.211,-43.396,10.071
0.430,1.199,2.634,4.700,-13.428,9.827
0.496,1.373,2.956,-16.418,22.461,1.343
0.510,1.353,3.423,-42.053,61.890,-15.808
0.632,1.492,3.375,-89.111,115.662,-37.537
0.673,1.820,3.108,-121.643,167.542,-55.969
0.843,2.058,2.756,-122.131,211.670,-77.454
0.970,2.020,2.598,-86.060,237.488,-101.501
0.813,1.941,2.451,-30.579,259.644,-121.460
0.562,1.818,2.329,31.555,292.053,-133.301
0.285,1.553,2.110,87.585,338.623,-137.085
-0.109,1.051,1.894,118.835,398.376,-136.230
-0.525,0.467,1.605,102.295,468.628,-131.165
-0.747,0.148,1.064,28.931,546.936,-125.061
-0.709,0.139,0.384,-60.852,601.746,-130.737
-0.479,0.373,-0.293,-138.794,604.980,-147.888
-0.366,0.653,-0.677,-186.462,555.054,-170.654
-0.515,0.750,-0.706,-199.585,469.849,-198.486
-0.722,0.456,-0.620,-192.261,381.775,-240.967
-0.953,-0.106,-0.464,-175.598,300.110,-297.302
-1.177,-0.620,-0.118,-160.461,226.318,-347.046
-1.376,-0.987,0.226,-141.602,166.504,-374.573
-1.489,-1.206,0.421,-127.563,116.577,-372.803
-1.513,-1.331,0.538,-121.216,71.655,-344.055
-1.452,-1.448,0.641,-116.272,31.128,-297.424
-1.264,-1.553,0.719,-109.192,0.427,-247.070
-1.041,-1.649,0.857,-105.652,-23.071,-203.186
-0.806,-1.666,0.968,-103.943,-36.621,-163.696
-0.585,-1.589,1.009,-104.980,-37.781,-126.404
-0.405,-1.505,1.087,-107.727,-32.166,-93.018
-0.207,-1.411,1.075,-112.061,-19.531,-64.880
0.018,-1.233,1.007,-114.319,-5.859,-40.833
0.185,-0.999,0.965,-103.210,3.540,-17.395
0.233,-0.807,0.906,-76.904,6.470,1.648
0.229,-0.714,0.844,-46.326,9.399,16.541
0.254,-0.655,0.725,-22.766,15.991,25.330
0.336,-0.565,0.591,-11.353,22.461,31.189
0.439,-0.470,0.473,-10.010,25.879,38.086
0.561,-0.378,0.364,-18.677,25.269,46.875
0.668,-0.254,0.277,-32.043,18.433,55.481
0.750,-0.109,0.225,-45.166,8.728,63.599
0.786,-0.027,0.237,-59.082,-3.174,67.566
0.810,0.030,0.302,-69.763,-13.977,65.552
0.823,0.098,0.393,-75.439,-21.667,57.251
0.817,0.106,0.498,-74.646,-27.832,43.762
0.820,0.079,0.616,-67.078,-31.067,28.748
0.829,0.032,0.712,-54.993,-31.311,14.709
0.810,-0.029,0.809,-40.649,-30.212,3.357
0.784,-0.061,0.857,-28.076,-24.536,-5.188
0.790,-0.065,0.847,-15.991,-16.541,-14.709
0.807,-0.081,0.815,-1.221,-10.193,-25.818
0.802,-0.153,0.751,13.428,-5.554,-34.546
0.795,-0.257,0.682,25.146,-1.953,-41.077
0.816,-0.343,0.622,31.006,0.061,-44.312
0.817,-0.427,0.612,30.579,-0.549,-43.396
0.812,-0.457,0.591,24.048,-1.404,-38.757
0.823,-0.445,0.587,15.381,-3.174,-30.823
0.794,-0.423,0.605,7.812,-5.005,-19.592
0.776,-0.402,0.598,1.099,-5.493,-8.179
0.792,-0.377,0.581,-4.150,-5.005,-0.488
0.815,-0.345,0.573,-8.484,-5.615,4.944
0.812,-0.315,0.581,-11.414,-6.897,8.789
0.807,-0.294,0.595,-14.893,-7.812,10.681
0.804,-0.265,0.606,-18.677,-8.545,10.742
0.780,-0.218,0.622,-20.081,-9.155,9.399
0.763,-0.176,0.605,-18.188,-7.751,7.507
0.769,-0.163,0.569,-14.771,-6.287,4.333
0.798,-0.171,0.538,-11.963,-6.165,0.244
0.822,-0.195,0.549,-9.033,-8.362,-3.723
0.803,-0.223,0.587,-7.690,-11.597,-5.554
0.776,-0.225,0.632,-7.019,-13.062,-5.493
0.752,-0.242,0.674,-4.944,-12.878,-4.822
0.733,-0.263,0.698,-3.174,-10.437,-3.601
0.728,-0.266,0.681,-1.526,-6.104,-2.502
0.747,-0.271,0.650,-0.793,-2.502,-2.380
0.760,-0.268,0.607,-1.343,0.854,-1.587
0.769,-0.262,0.562,-3.723,2.258,-0.549
0.787,-0.270,0.547,-6.470,1.099,-0.183
0.789,-0.287,0.556,-9.155,-1.160,0.793
0.772,-0.281,0.568,-12.024,-3.235,1.953
0.770,-0.252,0.591,-12.268,-5.310,2.441

0.081,-0.021,0.990,0.061,-0.793,-0.244
0.079,-0.029,0.989,1.038,-1.099,-0.854
0.074,-0.040,0.987,1.892,-1.343,-1.343
0.071,-0.051,0.991,2.441,-1.770,-1.770
0.072,-0.059,0.993,2.747,-1.465,-1.648
0.071,-0.068,0.990,2.197,-1.526,-1.648
0.074,-0.072,0.992,1.465,-1.221,-1.648
0.073,-0.071,0.991,0.732,-0.977,-1.465
0.073,-0.070,0.996,-0.061,-0.671,-0.977
0.072,-0.074,0.995,-0.916,-0.061,-0.427
0.079,-0.074,0.997,-2.075,0.610,0.183
0.081,-0.069,0.991,-3.601,0.366,0.244
0.084,-0.060,0.999,-4.150,0.366,0.549
0.086,-0.049,1.000,-4.517,-0.061,0.977
0.084,-0.040,1.000,-5.005,-0.427,0.977
0.080,-0.035,1.001,-5.432,-1.892,0.854
0.082,-0.031,1.001,-5.127,-1.465,0.610
0.079,-0.028,1.000,-4.761,-1.465,0.427
0.081,-0.027,0.999,-4.517,-1.831,0.183
0.083,-0.030,0.996,-4.150,-1.953,0.183
0.077,-0.029,0.997,-3.662,-2.197,0.122
0.078,-0.028,0.997,-2.625,-2.686,0.061
0.077,-0.033,0.988,-2.319,-2.747,-0.305
0.073,-0.031,0.988,-2.136,-2.808,-0.549
0.072,-0.028,0.988,-2.075,-3.418,-0.793
0.074,-0.035,0.988,-1.404,-3.418,-1.099
0.072,-0.048,1.000,-1.587,-4.333,-1.343
0.072,-0.051,1.007,-2.014,-5.371,-0.793
0.077,-0.051,1.013,-2.808,-5.737,-0.122
0.086,-0.047,1.027,-4.089,-6.775,0.366
0.101,-0.026,1.045,-5.676,-8.728,0.793
0.120,0.012,1.084,-6.714,-10.620,1.221
0.145,0.061,1.146,-7.446,-13.794,0.977
0.184,0.106,1.254,-9.827,-19.287,0.916
0.201,0.158,1.430,-15.686,-27.222,2.136
0.184,0.201,1.635,-27.893,-33.569,5.188
0.087,0.085,2.047,-49.255,-35.461,8.789
0.053,0.104,2.293,-91.187,-23.010,17.151
0.087,0.468,2.506,-167.114,4.395,23.010
0.201,1.081,2.750,-244.019,41.382,19.226
0.396,1.805,2.830,-304.077,89.844,15.503
0.563,2.539,2.741,-337.769,148.743,6.226
0.704,3.193,2.554,-325.073,204.956,-11.902
0.907,3.599,2.343,-269.714,247.314,-31.494
0.989,3.624,2.092,-203.979,270.630,-61.096
0.834,3.673,1.789,-129.150,284.485,-107.727
0.592,3.605,1.554,-33.325,297.546,-157.227
0.320,3.306,1.306,53.101,316.101,-204.651
0.045,2.848,1.050,116.577,341.858,-242.859
-0.118,2.201,0.755,141.235,372.498,-267.883
-0.126,1.475,0.293,107.605,400.574,-287.170
-0.029,0.790,-0.185,12.634,405.029,-306.335
0.226,0.673,-0.663,-131.714,382.263,-325.317
0.222,0.931,-0.769,-268.616,318.054,-359.985
-0.354,1.179,-0.500,-351.562,220.581,-411.072
-1.131,1.185,-0.075,-374.451,127.808,-463.989
-1.864,0.811,0.402,-343.262,56.152,-509.583
-2.641,0.086,1.084,-279.175,1.648,-537.720
-3.179,-0.636,1.342,-204.773,-21.118,-519.531
