aX,aY,aZ,gX,gY,gZ
-0.553,0.147,0.863,1.648,-8.484,1.892
-0.548,0.141,0.855,2.319,-7.874,1.709
-0.542,0.135,0.848,3.113,-6.714,1.953
-0.534,0.131,0.839,3.845,-6.287,2.197
-0.533,0.126,0.836,3.845,-5.920,2.319
-0.537,0.125,0.836,3.845,-5.676,2.380
-0.543,0.125,0.843,3.357,-5.249,2.136
-0.548,0.125,0.845,2.563,-4.761,1.282
-0.547,0.122,0.841,2.014,-3.967,0.549
-0.544,0.121,0.835,1.648,-3.357,0.122
-0.537,0.118,0.830,1.526,-3.357,0.061
-0.531,0.117,0.825,2.075,-3.235,0.366
-0.531,0.121,0.821,2.380,-3.418,1.160
-0.532,0.127,0.821,2.686,-3.418,2.075
-0.532,0.131,0.818,3.113,-3.479,2.747
-0.529,0.135,0.813,3.723,-3.174,3.113
-0.526,0.137,0.810,3.723,-3.601,3.052
-0.535,0.140,0.811,3.357,-4.150,2.747
-0.534,0.139,0.816,2.747,-4.639,2.197
-0.532,0.136,0.813,2.319,-5.127,1.404
-0.541,0.140,0.813,1.953,-5.188,0.916
-0.545,0.143,0.806,0.977,-5.371,0.061
-0.550,0.143,0.812,0.793,-6.042,-0.427
-0.557,0.143,0.822,1.221,-6.714,-0.671
-0.560,0.147,0.832,1.282,-6.165,-1.038
-0.557,0.143,0.829,0.671,-5.310,-1.648
-0.554,0.145,0.827,0.488,-4.700,-2.014
-0.552,0.142,0.832,1.282,-4.150,-2.136
-0.555,0.143,0.839,1.953,-3.418,-1.770
-0.555,0.141,0.848,3.052,-2.747,-1.160
-0.555,0.147,0.852,3.052,-1.953,-0.183
-0.557,0.156,0.864,3.174,-1.282,0.793
-0.569,0.169,0.887,1.831,-1.099,1.404
-0.584,0.183,0.910,-0.122,-0.671,1.526
-0.617,0.208,0.964,-2.380,0.061,2.930
-0.678,0.250,1.035,-5.798,1.404,5.615
-0.786,0.327,1.114,-12.817,5.981,9.705
-0.961,0.427,1.188,-26.917,14.038,13.794
-1.217,0.644,1.289,-42.664,22.034,26.062
-1.557,0.947,1.549,-44.617,28.015,33.813
-1.948,1.277,1.961,-45.715,40.100,30.945
-2.384,1.531,2.386,-38.940,67.871,10.498
-2.685,1.521,2.758,-23.010,113.281,-27.161
-2.736,1.312,2.877,-11.353,180.908,-73.242
-2.631,0.960,2.610,-5.676,265.991,-113.647
-2.405,0.700,2.281,-1.404,339.294,-136.230
-2.228,0.597,2.118,7.507,394.531,-145.508
-2.069,0.496,1.880,23.621,444.885,-151.367
-1.879,0.397,1.494,37.170,485.901,-156.372
-1.721,0.285,1.128,53.833,504.089,-158.936
-1.592,0.160,0.846,85.022,503.052,-158.447
-1.487,0.048,0.655,124.817,499.756,-152.710
-1.568,-0.024,0.645,161.072,507.629,-146.973
-1.601,-0.248,0.462,187.012,537.781,-147.644
-1.552,-0.471,0.066,183.044,576.416,-148.865
-1.403,-0.744,-0.260,154.236,602.783,-150.940
-1.118,-1.044,-0.547,109.436,609.924,-159.119
-0.786,-1.253,-0.868,53.284,599.182,-161.621
-0.382,-1.415,-1.172,3.540,565.857,-146.606
0.025,-1.443,-1.352,-31.982,513.428,-116.760
0.339,-1.315,-1.420,-50.659,452.148,-75.439
0.510,-1.101,-1.421,-64.819,388.794,-35.828
0.564,-0.895,-1.299,-81.970,326.355,-8.545
0.591,-0.704,-1.131,-100.098,272.827,7.019
0.614,-0.561,-1.037,-115.051,232.910,16.968
0.635,-0.490,-0.949,-122.437,199.158,23.743
0.724,-0.370,-0.861,-123.413,169.556,30.762
0.813,-0.219,-0.840,-126.038,145.813,35.889
0.891,-0.086,-0.845,-123.596,127.075,34.485
0.944,0.003,-0.824,-113.403,109.375,29.114
0.972,0.056,-0.781,-99.915,93.445,20.264
0.980,0.071,-0.731,-83.069,77.393,10.925
1.010,0.047,-0.647,-63.538,60.974,3.784
