aX,aY,aZ,gX,gY,gZ
0.085,0.205,1.086,-62.988,-40.894,14.709
0.083,0.231,1.077,-61.951,-39.185,12.451
0.078,0.246,1.052,-63.171,-37.170,9.949
0.065,0.263,1.034,-65.918,-34.363,9.583
0.050,0.266,1.014,-69.092,-31.494,9.827
0.037,0.266,1.015,-67.139,-29.785,10.681
0.028,0.262,1.018,-59.143,-29.358,10.864
0.028,0.273,1.017,-49.011,-29.175,10.742
0.014,0.283,1.019,-39.246,-30.090,10.071
0.017,0.292,1.016,-33.142,-30.334,8.728
0.017,0.301,1.006,-30.151,-29.846,7.996
0.022,0.290,1.001,-30.640,-28.625,7.324
0.006,0.292,1.006,-29.419,-28.015,6.958
0.000,0.306,1.026,-26.184,-27.344,7.385
0.003,0.326,1.043,-22.278,-26.733,7.935
-0.002,0.343,1.056,-18.555,-25.635,8.118
0.019,0.358,1.062,-14.343,-23.254,7.935
-0.007,0.359,1.072,-9.949,-22.766,6.287
-0.017,0.376,1.067,-5.676,-21.606,5.249
-0.005,0.380,1.062,-2.625,-18.799,4.211
-0.003,0.379,1.055,-1.648,-17.090,2.136
-0.007,0.379,1.047,-0.916,-15.991,-0.061
-0.000,0.373,1.038,-2.380,-15.320,-2.075
-0.010,0.358,1.036,-4.150,-14.648,-3.479
-0.007,0.345,1.034,-5.310,-13.855,-4.578
-0.003,0.327,1.031,-4.883,-12.390,-5.493
-0.011,0.311,1.029,-1.526,-10.742,-6.042
-0.012,0.294,1.027,4.089,-9.460,-6.226
-0.008,0.283,1.022,10.559,-8.423,-5.798
-0.012,0.280,1.022,17.822,-7.019,-4.822
-0.020,0.283,1.025,26.306,-5.310,-3.479
-0.035,0.290,1.051,37.231,-4.089,-1.953
-0.037,0.305,1.100,53.528,-2.380,0.427
-0.064,0.293,1.194,78.491,-0.732,3.357
-0.090,0.256,1.351,116.394,2.563,7.874
-0.150,0.125,1.580,176.697,6.165,13.977
-0.209,-0.157,1.952,274.109,11.169,17.944
-0.234,-0.446,2.329,401.550,17.883,21.667
-0.250,-0.795,2.635,536.926,29.114,27.283
-0.217,-1.218,2.930,665.344,44.861,37.903
-0.221,-1.744,3.119,771.545,61.035,52.124
-0.193,-2.198,3.101,846.802,83.252,77.332
-0.179,-2.471,2.841,886.169,102.905,116.394
-0.316,-2.485,2.328,898.987,110.229,166.504
-0.458,-2.276,1.802,885.437,117.371,237.549
-0.532,-1.934,1.368,849.609,122.742,311.035
-0.478,-1.534,1.098,817.871,119.934,362.305
-0.398,-0.861,0.838,805.664,110.962,385.498
-0.357,-0.354,0.717,801.147,89.294,382.507
-0.247,0.199,0.481,777.649,71.594,364.624
-0.238,0.644,0.279,726.196,56.580,328.003
-0.206,0.917,0.134,630.127,36.133,282.104
-0.175,1.085,0.074,509.155,15.686,238.037
-0.229,1.226,0.062,366.821,-2.319,199.097
-0.211,1.197,0.102,213.989,-21.057,161.133
-0.170,1.034,0.262,80.383,-38.086,130.859
-0.061,0.807,0.476,-23.743,-57.922,101.013
0.084,0.605,0.673,-84.717,-73.059,74.341
0.278,0.389,0.868,-109.619,-79.651,50.659
0.488,0.382,1.044,-111.938,-70.190,36.316
0.593,0.236,1.134,-90.759,-43.396,11.902
0.697,-0.056,1.015,-63.538,-10.742,-11.963
0.680,-0.360,0.641,-48.279,19.897,-13.733
0.642,-0.552,0.261,-38.086,37.720,-6.226
0.650,-0.681,0.028,-38.086,44.128,-3.479
0.677,-0.787,-0.147,-45.532,48.401,-5.005
0.662,-0.896,-0.315,-50.903,50.598,-4.089
0.663,-0.900,-0.437,-55.481,45.288,0.183
0.641,-0.973,-0.490,-53.589,36.926,4.089
0.672,-0.968,-0.468,-49.377,28.381,9.521
0.671,-1.006,-0.436,-36.865,16.602,10.742
0.672,-0.973,-0.403,-20.020,7.935,13.306
0.677,-0.932,-0.371,-6.042,0.488,15.625
0.677,-0.849,-0.332,1.892,-5.371,18.799
0.675,-0.749,-0.280,3.784,-10.620,22.278
0.673,-0.644,-0.175,-0.244,-14.038,22.949
0.672,-0.579,-0.094,-5.615,-13.245,19.409
0.678,-0.554,-0.047,-9.399,-9.399,13.916
0.663,-0.559,-0.028,-10.681,-5.371,8.850
0.660,-0.585,-0.023,-10.193,-3.540,6.348
0.662,-0.614,-0.042,-7.446,-1.343,3.845
0.651,-0.637,-0.081,-4.089,1.770,1.831
0.655,-0.664,-0.133,-2.808,3.296,1.892
0.656,-0.678,-0.167,-3.662,5.127,2.686
0.650,-0.694,-0.195,-7.141,7.202,3.967
0.648,-0.721,-0.226,-11.780,8.545,4.456
0.643,-0.743,-0.240,-14.954,8.972,4.456
0.646,-0.763,-0.242,-14.587,7.629,3.784
0.655,-0.777,-0.240,-9.277,5.554,2.991
0.658,-0.778,-0.247,-2.258,3.418,2.380
0.658,-0.769,-0.255,2.869,1.404,2.319
0.661,-0.753,-0.252,5.676,-0.610,3.357
0.658,-0.735,-0.233,6.958,-3.113,4.272
0.655,-0.721,-0.219,7.263,-4.822,3.906
0.660,-0.716,-0.201,7.751,-6.042,2.869
0.666,-0.722,-0.173,7.263,-6.653,1.892
0.671,-0.722,-0.165,6.409,-6.042,1.282
0.668,-0.730,-0.160,4.944,-3.540,1.038
0.663,-0.739,-0.150,2.441,-2.991,1.404
0.660,-0.738,-0.149,0.916,-1.465,1.526
0.653,-0.738,-0.146,1.221,0.305,1.587
0.646,-0.751,-0.157,2.258,0.977,1.282
0.643,-0.747,-0.169,3.967,1.038,1.770
0.641,-0.741,-0.177,4.639,1.160,2.869
0.644,-0.737,-0.184,3.784,-0.427,3.601
0.651,-0.732,-0.193,4.272,-0.122,3.479
0.653,-0.734,-0.204,3.906,0.610,3.296
0.661,-0.744,-0.211,3.296,0.488,3.357
0.655,-0.743,-0.219,3.418,0.793,3.418
0.653,-0.740,-0.221,3.235,0.488,3.723
0.652,-0.730,-0.210,3.174,-0.488,3.784
0.656,-0.731,-0.197,4.028,-1.587,3.357
0.658,-0.733,-0.191,4.333,-2.014,2.502
0.658,-0.740,-0.178,3.845,-2.075,1.770
0.657,-0.745,-0.179,3.967,-2.136,1.465
0.659,-0.755,-0.181,3.784,-2.197,1.343
0.662,-0.760,-0.169,3.601,-2.441,1.709
0.665,-0.765,-0.157,2.686,-2.747,2.380
0.666,-0.761,-0.151,2.441,-2.686,2.686

0.128,0.174,0.964,8.545,-1.648,1.221
0.125,0.172,0.961,5.920,-1.648,1.343
0.126,0.169,0.960,3.052,-2.136,0.977
0.122,0.168,0.961,2.136,-3.235,0.854
0.125,0.164,0.959,2.014,-5.615,0.610
0.126,0.162,0.961,3.418,-5.554,0.671
0.130,0.161,0.967,5.005,-4.028,0.916
0.131,0.163,0.970,6.042,-2.869,1.465
0.133,0.159,0.970,6.226,-2.869,1.831
0.131,0.161,0.971,6.287,-2.563,2.380
0.125,0.164,0.969,6.958,-1.892,2.441
0.124,0.163,0.974,6.653,-2.502,2.258
0.123,0.168,0.969,4.150,-4.028,2.136
0.124,0.168,0.966,1.587,-4.822,2.258
0.123,0.169,0.967,0.854,-5.066,2.197
0.122,0.167,0.967,1.038,-5.310,1.953
0.124,0.167,0.966,1.587,-5.371,2.075
0.126,0.165,0.967,1.709,-5.066,1.892
0.123,0.167,0.970,2.197,-4.028,1.526
0.122,0.170,0.970,2.136,-4.028,1.465
0.121,0.166,0.968,1.709,-4.517,1.465
0.120,0.162,0.965,2.869,-4.761,1.282
0.121,0.163,0.968,4.578,-4.333,1.038
0.117,0.164,0.970,5.432,-4.639,1.221
0.120,0.169,0.971,5.554,-3.845,1.404
0.119,0.172,0.973,4.944,-3.845,1.465
0.119,0.180,0.982,4.578,-4.395,1.770
0.117,0.185,0.984,4.822,-2.502,1.648
0.115,0.191,0.994,5.493,-1.648,1.221
0.115,0.207,1.007,7.874,-1.099,0.793
0.111,0.213,1.039,12.512,-0.061,-0.427
0.112,0.211,1.081,20.447,0.000,-1.648
0.111,0.141,1.163,37.659,-0.305,-4.822
0.100,0.077,1.290,72.266,-0.488,-9.155
0.093,-0.080,1.527,126.343,-2.014,-15.442
0.078,-0.232,1.794,211.182,-3.113,-22.217
0.078,-0.460,2.042,325.378,2.747,-32.410
0.136,-0.724,2.326,453.308,10.498,-43.579
